Question,Source,Type,Confidence,Notes
How do I adding a 3rd VM to  Load balancer backend pool?,Community,Procedural,High,Microsoft Q&A group_count=5
What is Basic Load Balancer Migration?,Community,Conceptual,High,Microsoft Q&A group_count=4
What is Load Balancing?,Community,Conceptual,High,Microsoft Q&A group_count=3
What is Upgrade classic Load balancer to standard?,Community,Conceptual,High,Microsoft Q&A group_count=3
What is Azure Gateway Load Balancer?,Community,Conceptual,High,Microsoft Q&A group_count=3
What is I Can't create Azure Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=2
How do I retirement Announcement - Basic Load Balancer will be retired on 30 September 2025?,Community,Procedural,Medium,Microsoft Q&A group_count=2
What is Upgrade to Standard SKU public IP address?,Community,Procedural,Medium,Microsoft Q&A group_count=2
How do I eRR_CONNECTION_TIMED_OUT after upgrade from a basic public to standard public load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=2
How do I about Azure load balancer redundancy?,Community,Procedural,Medium,Microsoft Q&A group_count=2
What is Azure Container App without Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is IP Floating?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is Internal Load balancer DNS resolution?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is Queries on azure load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
Can we chain internal loadbalancers?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is Load balancer traffic redirection?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is Cross Region Load Balancer?,Community,Fact-finding,Medium,Microsoft Q&A group_count=2
How do I azure Private load balancer to Https web sites?,Community,Procedural,Medium,Microsoft Q&A group_count=2
How does the Load Balancer work with IPv6?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
How do I resolve: Unable to add new VM to LoadBalancer?,Community,Procedural,Medium,Microsoft Q&A group_count=2
What is Load Balancing On Premises VMs into Azure?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is Load balancers health probe?,Community,Conceptual,Medium,Microsoft Q&A group_count=2
What is Load balancers on Availability set?,Community,Fact-finding,Medium,Microsoft Q&A group_count=2
How do I resolve: deployment failure while adding VM instance to backend pools?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=2
How do I aKS service with load balancer type is generating the IP but not able to access the service?,Community,Procedural,Medium,Microsoft Q&A group_count=2
How do I ingress hostname to use different domain than the .westeurope.cloudapp.azure.com?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I no more internet access on virtual machines?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot create VipAvailability metric over my AKS load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load Balancer Degraded for 3 days?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Can I use Azure GWLB solution with NVA for the Internet Outbound Traffic?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I load balancer of a unknow subscription using our vnet - cant delete?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Issue with Load Balancer of Front door being deleted and recover?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I can't access a newly created load balancer in my vnet to delete it?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I standard Load Balancer throttling outbound response throughput to ~25 KB/s for external clients (East US 2)?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to delete a left over load balancer in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I virtual machine server published with custom ports is not reachable from internet?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Ports for FTP Passive Mode?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
"How do I resolve: VM is working, health check is Ok but getting 502 on the URL, there are 4 VMs only 1 is working fine?",Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to update the Public IP on NAT rules for an existing LoadBalancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I urgent need to delete the resource group that is generating costs?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How can I preserve or use the Azure Internal Load Balancer frontend IP for outbound or return traffic from its backend VMs?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Failed to distribute content to CMG from SCCM?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I aPIM not able to connect to Load Balancer even though they all are on the Public IP?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Range of ports to be open?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Load balancer status is Degraded (Unplanned)?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Azure load balancer & F5 load balancer are same ?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Taffic flow through public Load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
"How do I azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health endpoint work fine?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Public load balancer packet forwarding to NVA or performing any kind of Source NAT or D-NAT?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Basic Load Balancer will be retired on 30 September 2025âupgrade to Standard Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I need to upgrade the load balancer from Basic SKU to Standard SKU in azure portal kindly share me the steps to do it?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to recover failed upgrade of basic LBs with shared backend pools?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I azure ADDS Inbound NAT Rule upgrade in Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Extend Basic Load Balancer by one week?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I basic SKU Load balancers and Public IP address associated with VM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I upgrading Basic Loadbalancers with VMs with and without PIP?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I redirect incomming traffic on Azure LB and F5 Big IP?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I please upgrade the Azure public IP addresses from Basic SKU to Standard SKU by September 30, 2025?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I at what scope/s Network Contributor Role is needed to add backend vms to a Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to fix this health probe should send 200 OK result in LB backend health status?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I basic SKU IP Address for classic load balancer migration process?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to access both VM and blob storage account securely without using Public IPs from the internet?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I impact of Basic Load Balancer and Public IP Retirement?,Community,Procedural,Medium,Microsoft Q&A group_count=1
will my Azure load balancer on basic sku stop working on 09/30/2025?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure Load Balancer not following outbound rules?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Public Load Balancer to Private Container Apps via UDP MQTT protocol?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Firewall NAT 1:1 for inbound and outbound?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual allow?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Outbound traffic via GWLB?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is About AzureLB Deployment?,Community,Procedural,Medium,Microsoft Q&A group_count=1
can not delete load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I aCI not supported by Azure Load Balancer in the backend Pool?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Problem with LB upon upgrade to Standard from Basic?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to configure and troubleshoot Azure load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I firewall and Load Balancer using a GWLB (2 NVAs)?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot access my services after upgrade from basic to standard load balancer via PowerShell?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure Public LB traffic flow?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is the recommended load balancing strategy for Azure Container Apps handling image-based workflows with regional failover?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Can I add VMs in Standard Availability Set to the backend pool of the Load Balancer in Basic SKU?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I best Load Balancer Option for Container Apps with Autoscaling?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Load Balancer Set traffic priority for VM1?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Basic SKU load balancer migration backout plan?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How can I Integrate Azure Firewall with Azure Standard Load Balancer for Enhanced Security and Traffic Visibility?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I upgrade existing LCS / D365 machines to Standard Public IP SKUs?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I replacing public IP with hostname for sites which configured using load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I request always going to second server in load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to put multiple VMs behind a single private IP address on Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I best Minimal Setup to Simulate Load Balancing in Test Environment?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Why do I see down time required message when I am just validating the Azure Basic LB & not performing the actual Az Basic LB upgrade?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I i have created Cross over region Load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service?",Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load balancer degraded health?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Must the Gateway Load Balancer Frontend IP be in its own subnet?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is explanation of this part - load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: i have a connectivity issue with CDN?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot connect to a https backend while a load test is running?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I configure Azure to allow inbound traffic to only one port by IP address and the rest to domain name?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I migrated to Standard Load Balancer - No Internet Access?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I i would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21?,Community,Procedural,Medium,Microsoft Q&A group_count=1
where is a azure loadbalancer's zone?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
where is the zone of public load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Loadbalancer fails to delete?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I traffic Forwarding from one VM to another VM in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I basic LoadBalancer Upgrade - no outbound rule created?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I disable Cipher Suite in Server 2022 but still active?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How many public IP addresses can be attached to a FortiGate NVA deployed in Azure VWAN?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I action required: End of Support for Microsoft Azure Load Balancer property NumberOfProbes?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Will a public load balancer with a public IPv4 address without an outbound rule have outbound connectivity once default outbound access goes away?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I best Approach to Block Incoming Traffic During Initial Cache Loading in Azure VMSS?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: 'AzureBasicLoadBalancerUpgrade' module fails with null error?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I need help on Azure LoadBalancer to extract frontend to backend servers mapping?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I connect to a service on an VM in backend-pool behind a load balancer through Private Link Service?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I deleting a Load Balancer and Public IP Address?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure LoadBalancer blocks a local vnet connections?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What happens to Basic Azure Load Balancers after September 2025?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I aKS public load balancer health probes and load balancing rules with a internal load balancer in use?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can a backend pool VM connect to it's load balancer URL?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I load Balancer Behavior and Inbound Port Rules in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Do i need azure VM for azure load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Increase Application Gateway Load balancer gateway timeout?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Missing connectivity behind by a Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I troubleshooting Bad Requests Through a Private Endpoint Connected to a Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How can I configure an Azure Load Balancer to route traffic based on URL path?""?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to delete Public IP address & virtual network subnet due to linkage with resource I can't access?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: NetworkingInternalOperationError on new VM w/Load Balancer?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
how to monitor azure internal load balancer correctly balancing the traffic between VM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I this is regarding the service health related to ""Upgrade to Azure Standard Load Balancer by 30 September 2025""?",Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I the azure loadbalancer health probe shows a warning, how to get rid of the warning?",Community,Procedural,Medium,Microsoft Q&A group_count=1
What is courses#badges?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I upgrade basic load balancer without deleting Basic LB?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Error 'VM is another Availability set' when trying to add new standalone VM in the backed pool of external LB which already has a standalone VM?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I vM Scale Sets Behind Load Balancer Not Reachable?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I any costs to a Standard Load Balancer if the VMs are shutting down?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I retirement notice: Azure Load Balancer Inbound NAT rule V1 for Azure VMs and Azure VMSS will be retired?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I tell me more about NumberOfProbes in Azure Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Application Gateway VS Azure Front Door?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How to decommission an old Root CA and Issuing CA after the new ones are already in live?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to delete Loadbalancer beceause it is being used by an already deleted VMSS?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I hello, working on exposing am internal load balancer through an app gw v2. My listener continues to default to the wrong certificate, so when I open the host name on the browser it depicts the wrong certificate?",Community,Procedural,Medium,Microsoft Q&A group_count=1
Can the Azure Load Balancer utilize the x-forwarded-for header?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I going with the application gateway in fornt of azure firewall does it lose the benefit of l7 load balancing?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to send a SIP request from SBC via express route?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does Azure loadbalancer support proxy protocol?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I internal Load Balancing solutions for Azure Cross region environment?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Application Gateway to AKS internal load balancer using native Kubernetes NGINX controller?,Community,Procedural,Medium,Microsoft Q&A group_count=1
does load balancer probes over TCP probe sends any data?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Inefficient load balancing from NATed network?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Internal Load Balancer is not distributing the load evenly?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load balancer Intermittent connection?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Does Azure server allow spoofing source IP of UDP packet?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Load Balancer Won't Pass Traffic to VM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I palo VM firewall drop packets behind Azure load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
how to fix if internal load balancer suddently went for degraded state on Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is High latency on Application Gateway?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure load balancer to NVA asymmetric traffic issue?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How to update Load Balancer Backend pool Nic in batch?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Data path availabilitymetric missing?,Community,Fact-finding,Medium,Microsoft Q&A group_count=1
When should I have multiple backend pools for a load balancer?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot delete a Public IP that has no resources associated with?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I since we ahve primary data center (DC) is already connected to Azure via ExpressRoute, options for connecting your on-premises DR datacenter to Azure?",Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancing of requests coming from a single client?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does NSG apply to load balancer frontend IP?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure LoadBalancer ( ILB / PLB ) Flow Log?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure Loadbalancer Failover Sessions not handed over?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to connect to Azure App (fqdn) using Cloud Flare to resolve the hostname using a NGINX to resolve the access to Application?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What Authentication solution would you suggest in this scenario?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Why ALB (App Gateway V2) with affinity session enabled won't work with NTLM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Does a public load balancer on Azure enforce any limits regarding big traffic spikes?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Change Public IP of Cloud Service Extended support from Dynamic to static Fails?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
