Question,Source,Type,Confidence,Notes
What is load balancer don't public website https?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I not able to add backend to the Load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I aks load balancer with ip prefix and fixed public ip?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancer is not sending CEF messages to Syslog Collectors received from Source but Sending Syslog messages?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Changing only the IP allocation method of Load Balancer Service in AKS doesn't work?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Powershell script for exporting LB configuration?,Community,Coding,Medium,Microsoft Q&A group_count=1
Why is Load balancer only sending traffic to some healthy VMs?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure  vms are not able to fetch the Public IP address of the Public Load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Latency Issues with file uploads?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Question about free services?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure forcing to create a Standard LB instead of Basic LB?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to monitor traffic between each blade in Azure Load Balancer during load test?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I azure External Load balancer - Want to Add Outbound rule , but the ""Backend Pool"" blackout ?!! Not able to input it?",Community,Procedural,Medium,Microsoft Q&A group_count=1
how long azure ilb keep the session afinity if i enabled 3 tulple hashing?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How does Load Balancer redirect request flow to HTTPS service?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is DNS Internal Resolution public Ip?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How to access backend load balancer Vms with port 443?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure environments?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Is there an azure service that is able to find an optimum connection to the server from two endpoints?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Probe interval tuning?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I nAT Gateway Configuration for azure Internal load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Front Door: How to handle private links to multiple origins on VMs?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to create cloned/duplicated networks with same IP Addresses?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I update annotation azure-dns-label-name of azure load balance service?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to add Health probe to a Classic LoadBalancer when deployed to Cloud Service (extended support)?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How could I let azure ecmp inbound traffic from internet to mulitple VMs?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How to assign public IP address from old cluster to new cluster?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is Azure Load balancer act like reverse proxy?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Best option to achieve failover for Internal Applications (not exposed to Internet)?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I azure Internal(Private) Load Balancer does not seem to process/forward the IP Fragmented packets received over UDP Transport?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Port 0 in Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Session Related issue while using Load Balancer?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Azure Load Balancer HTTP health probe method?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Loadbalancer for backend Services secured with SSL?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Load Balancer-Private Endpoint configuration questions?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Load Balancer to Check if HTTP Response Has No Status Code?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can virtual machine scale sets without inbound NAT rules?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure Service High Availabitlity in Switzerland?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How to push azure load balancer logs to storage account?,Community,Procedural,Medium,Microsoft Q&A group_count=1
VM default outbound access blocked if another VM has explicit outbound configured?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is SSH Access Through Azure LB?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Application Gateway - active and passive?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Load balancer not forwarding port?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I need to monitor some resources?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I .NET 4.8 | SignalR connection to server behind Load balancer | On Premise?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure Networking?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I can't ping Availability Group cluster IP from passive node in Alwyas On AG SQL Cluster in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load balancer does not resolve when creating Service object?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I forward packages from one load balancer to another load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure External LB - HA ports?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Location of resources?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I two VMs are attached to LB and one is down then how you will manage user request to reduse Slowness?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure ilb ipv6?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I support for tls v1.3 for App Services?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can I configure Same VIP with same subnet of VM on Same VPC?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I shutting down application that is served behind Azure LB gracefully?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot configure VMSS with network interfaces with public ip and backend pool with outbound rules. Please remove one of them to continue?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: error: http2: client connection lost for azure kubernetes service?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I site-to-Site VPN with VNET Gateway between two Azure stacks?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Always On VPN - Issues authenticating to on-prem resources from AAD Join machines?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is Active Passive with private IPs?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Loadbalancer got automatically rebooted?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Cross-region loadbalancer in Sweden?,Community,Fact-finding,Medium,Microsoft Q&A group_count=1
Is it possible to make a call to an azure app service inside a vnet from azure ad b2c?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure load balancer logs?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
"What is Azure VMs, Monitoring and Load Balancing?",Community,Conceptual,Medium,Microsoft Q&A group_count=1
Best practice in publishing Remote Desktop access or Terminal server to Internet via Azure ?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I expose private link HTTPS and Non HTTPS ports from NGFW LB Sandwich?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load balancing between mine and azure servers?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load Balancing App Services?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How to make HTTP(S) Load Balancer health probes accept status 204 as healthy?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I mS Teams Direct routing multiple ports with inbound rule on external LB?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I public ip prefix to point to an H-A NVA using External load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Export the list of health probes?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I in a typical load balancer scenario if any backend server is getting crashed or disconnected?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Create a BastionHost for a Public Load Balancer failed?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How do I azure Traffic Manager - Gurantee Specific VM Routing?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"Is there a Traffic Manager type solution for internal TCP resources, other then HTTP(S)?",Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is public loadbalancer outbound rules showing 0 instance?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Is it possible to share the IP Address across different services using Azure LB?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I the Load Balancer/Application Gateway does not show the resource groups created?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is Azure Internal load balancer for sql always on WSFC virtual name required?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I restrciting wild card domains on azure app service?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Securely accepting internet TCP connections?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I internet Traffic Flow for Web App Server in multi region and placement of Azure Traffic manager & NVA & App Gateway?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Azure Loadbalancer: Can the Virtual Machines in BackendPool retain public IP?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure Load Balancer multiple frontend?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure Load Balancer Features?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I my aks cluster reported: Load balancer:Degraded : Unavailable (Unplanned)?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Load balancer - Azure VM Connection Limit?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is å¦ä½ç»åazure app proxyä»¥å azure load balancerè¿è¡åºç¨ä»£ç?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I internal Load Balancer maintain session hash between multiple front-end IPs?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I passive FTP need port range in load balancer rule?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Logical firewall between load balancer and VMs?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Load balancer access problem?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot get a load balencer to work?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Redirect URLS for QR scan counting?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Are there metrics available to see the requests per second and latency for a Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure CLI - Can't find target VM information?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I aKS change Public IP address and lost connectivity?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Cross-region Load Balancer appears to drop UDP traffic?,Community,Fact-finding,Medium,Microsoft Q&A group_count=1
What is Task 5: Implement Azure Load Balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Load balancer public IP is not resolving?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Can I use a Basic Load Balancer on an AKS 2 node cluster used for learning to SAVE MONEY in my VS Professional account?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do we setup an AVD Environment to use a known Public Static IP.  Azure Virtual Desktop?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Load Balancer of Load Balancers?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Cannot ping SQl listener outside primary sql server?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to access my Web Site through Load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: IP issues with Azure Kubernetes Service Load Balancer over UDP?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Which load balancer supports the performance based rounting?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
Backend pool configuration âby NICâ vs âIPââdifference?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I acess an Azure VM behind the Azure LB?,Community,Procedural,Medium,Microsoft Q&A group_count=1
"How do I my DNS has resolved, but my site won't serve?",Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure HA Configuration Load Balancing Help?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is azure load balancer access log requests?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Failover - Availabilty through one IP Adress at remote destination?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Where to Search the Azure Application Gateway Usage and Speed?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is load balance and weblogic t3 protocol?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Is it possible to add more than 300 rules for load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Multiple vnet interface on AKS Loadbalancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I create a internal standard load balancer with HA ports in Azure using ARM template?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I azure Load Balancing Solutions to Replace OnPrem Setup and Functionality?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I deploying Mediasoup-WebRTC application on azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I not able to add servers on backend pool?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is it possible to specify which multi-ports can be put on an Azure load balancer?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I azure Front Door Backed Pool Type || Azure Load Balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to telnet through internal load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancer is not connecting to VM Scale set Instance?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is Active-standby configuration possible with Azure loadbalancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Load balancing port forwarding?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Ipv6 LoadBalancer Azure?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I azure Loadbancer can't reach from the backend VM?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to target nodes (Nodepool) for the internal loadbalancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I alert when loadBalancers has VIP Availability less than 65 over 15 mins?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to preserve AKS outbound rule changes when AKS version upgrade?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I site is not accessbile using loadbalancer Ip / name?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Azure load balancer not distriburting traffic evenly?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
how to check backend server status in loadbalencer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load balancer configured with two ports but can only able to browse site on one port on another port not able to browse?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load Balancer availability status shows unknown?,Community,Fact-finding,Medium,Microsoft Q&A group_count=1
How to get public IP address name from load balancer Frontend IP configuration using Microsoft Azure Management Network Fluent API?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Is ingress-nginx really a load balancer or not?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is loadbalancer backend configuration?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I multi-Domain Azure Load Balancer using 1 public IP address?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I uDR seems not to work for internal load balancer traffic?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can you recommend me a network model for a webapp using reactjs and springboot?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I resolve: unable to communicate with the backend pool with internal load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to create new backend address pool for existing load balancer usingazure arm template?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to get azure load balancer list based on internal or public type using Fluent API?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Problem creating an Azure Internal Load Balancer with networking in a different resource group?,Community,Procedural,Medium,Microsoft Q&A group_count=1
will configuring load balancer solves the application read time out issue?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
How to get VirtualNetwork name from  virtual machine which is attached in Load balancer Backend pool using Microsoft Azure Management Network Fluent?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Why basic load balancer has no metrics?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How to add Application gateway Ip address in Loadbalacner backend pool?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I iP-based session affinity is not maintained by the Load Balancer when Application Gateway is used in front of it?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I way to distribute traffic between two Internal Load Balancers?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Recommendation for pool member?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
"Does Azure LB honor the subnet routes? If not, how can we force Azure LB to take a route to reach its backend pool server?",Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I response time Gateway for Application Gateway and Traffic Manager?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I adding a private network behind hub and spoke?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I vM In Azure VMScaleSet ( VMSS) do not have Internet access?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is Load Balancer over Gobal VNet Peering?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I connect Classic Load Balancer to ARM Load Balancer for ADFS Cutover?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I resolve: Issue with connectivity for Azure SQL VM?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is health probe for load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Why peering would not be advised if I have services behind basic LB?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Azure Load Balancer Health Probe stuck updating?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Unable to segregate cost per client in AKS?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Session persistence more than 30min?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
AKS cluster Load Balancer SKU by default is Basic or Standard?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I resolve: Azure load balancer health probe not working?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
What is disableoutboundsnat?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Does Azure (Standard) load-balancing require two or more nodes in backend pool?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
What is Bastion Host on Azure?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Can i use Azure Load Balancer for below scenario? If yes what is the cost incured? or if not which load balacing solution suits and its cost?,Community,Decision-making,Medium,Microsoft Q&A group_count=1
How do I resolve: Calling azure loadbalanacer rest api gives 403 forbidden error?,Community,Troubleshooting,Medium,Microsoft Q&A group_count=1
Azure-ILB for Multiple IaaS SQL FCI sharing a host - how to correctly set up rules?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How to setup Azure Load balancer in active active WSFC FCI?,Community,Procedural,Medium,Microsoft Q&A group_count=1
What is IPv4 and IPv6 on External LoadBalancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
How do I basic networking qu with Azure Firewall and load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I blocking inbound access to a VM with a public IP association that is ALSO behind a load balancer?,Community,Procedural,Medium,Microsoft Q&A group_count=1
How do I load Balancing for the web Apps in Azure?,Community,Procedural,Medium,Microsoft Q&A group_count=1
Can you have a public IP to an Internal Load balancer?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
Is an Internal Load Balancer zone redundant?,Community,Conceptual,Medium,Microsoft Q&A group_count=1
"How do I azure Function response times out, and tcp connection is reset (closed) before all content is received?",Community,Procedural,Medium,Microsoft Q&A group_count=1
