Question,Score,Type,Gap_Type,Target_Article_Title,Target_Article_URL,Target_Article_Path,Recommendation
How do I resolve: Azure Data Factory - Pipeline always fails at the second connection to On-Premise data source?,1.0,Troubleshooting,new-article,Connector Troubleshoot Guide,https://learn.microsoft.com/azure/data-factory/connector-troubleshoot-guide,/azure/data-factory/connector-troubleshoot-guide,Create a new article covering: Azure Data Factory - Pipeline always fails at the second connection to On-Premis
How do I resolve: Always On VPN - Issues authenticating to on-prem resources from AAD Join machines?,1.0,Troubleshooting,new-article,Vpn Gateway Howto Always On User Tunnel,https://learn.microsoft.com/azure/vpn-gateway/vpn-gateway-howto-always-on-user-tunnel,/azure/vpn-gateway/vpn-gateway-howto-always-on-user-tunnel,Create a new article covering: Always On VPN - Issues authenticating to on-prem resources from AAD Join machine
How do I resolve: Issue with connectivity for Azure SQL VM?,1.0,Troubleshooting,new-article,Ways To Connect To Sql,https://learn.microsoft.com/azure/azure-sql/virtual-machines/windows/ways-to-connect-to-sql,/azure/azure-sql/virtual-machines/windows/ways-to-connect-to-sql,Create a new article covering: Issue with connectivity for Azure SQL VM?
How do I disable Cipher Suite in Server 2022 but still active?,1.0,Procedural,new-article,Tls Registry Settings,https://learn.microsoft.com/windows-server/security/tls/tls-registry-settings,/windows-server/security/tls/tls-registry-settings,Create a new article covering: disable Cipher Suite in Server 2022 but still active?
How do I resolve: Issue Creating Private Endpoint with Azure Application Gateway's Private Link Enabled?,2.0,Troubleshooting,new-article,Private Link,https://learn.microsoft.com/azure/application-gateway/private-link,/azure/application-gateway/private-link,Create a new article covering: Issue Creating Private Endpoint with Azure Application Gateway's Private Link En
How do I resolve: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Application Gateway?,2.0,Troubleshooting,new-article,Mutual Authentication Overview,https://learn.microsoft.com/azure/application-gateway/mutual-authentication-overview,/azure/application-gateway/mutual-authentication-overview,Create a new article covering: Facing Issues with Mutual TLS Configuration for Specific Routes in Azure Applica
How do I resolve: Increase Application Gateway Load balancer gateway timeout?,2.0,Troubleshooting,new-article,Configuration Request Routing Rules,https://learn.microsoft.com/azure/application-gateway/configuration-request-routing-rules,/azure/application-gateway/configuration-request-routing-rules,Create a new article covering: Increase Application Gateway Load balancer gateway timeout?
How do I resolve: Change Public IP of Cloud Service Extended support from Dynamic to static Fails?,2.0,Troubleshooting,new-article,Overview,https://learn.microsoft.com/azure/cloud-services-extended-support/overview,/azure/cloud-services-extended-support/overview,Create a new article covering: Change Public IP of Cloud Service Extended support from Dynamic to static Fails?
How do I resolve: Deployment template validation failed: 'Circular dependency detected'?,2.0,Troubleshooting,new-article,Resource Dependency,https://learn.microsoft.com/azure/azure-resource-manager/templates/resource-dependency,/azure/azure-resource-manager/templates/resource-dependency,Create a new article covering: Deployment template validation failed: 'Circular dependency detected'?
How do I resolve: Create a BastionHost for a Public Load Balancer failed?,2.0,Troubleshooting,new-article,Bastion Overview,https://learn.microsoft.com/azure/bastion/bastion-overview,/azure/bastion/bastion-overview,Create a new article covering: Create a BastionHost for a Public Load Balancer failed?
What is Firewall recommended for Azure Static Web Apps?,2.0,Decision-making,new-article,Configuration,https://learn.microsoft.com/azure/static-web-apps/configuration,/azure/static-web-apps/configuration,Create a new article covering: Firewall recommended for Azure Static Web Apps?
Best practice in publishing Remote Desktop access or Terminal server to Internet via Azure ?,2.0,Decision-making,new-article,Network Best Practices,https://learn.microsoft.com/azure/security/fundamentals/network-best-practices,/azure/security/fundamentals/network-best-practices,Create a new article covering: Best practice in publishing Remote Desktop access or Terminal server to Internet
How do I resolve: Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by Azure?,2.0,Procedural,new-article,Vpn Gateway Delete Vnet Gateway Portal,https://learn.microsoft.com/azure/vpn-gateway/vpn-gateway-delete-vnet-gateway-portal,/azure/vpn-gateway/vpn-gateway-delete-vnet-gateway-portal,Create a new article covering: Cannot delete PublicIP because it is associated to vpngwLoadBalancer managed by 
How do I aPIM not able to connect to Load Balancer even though they all are on the Public IP?,2.0,Procedural,new-article,Api Management Howto Integrate Internal Vnet Appgateway,https://learn.microsoft.com/azure/api-management/api-management-howto-integrate-internal-vnet-appgateway,/azure/api-management/api-management-howto-integrate-internal-vnet-appgateway,Create a new article covering: aPIM not able to connect to Load Balancer even though they all are on the Public
How do I azure Public Load Balancer to Private Container Apps via UDP MQTT protocol?,2.0,Procedural,new-article,Networking,https://learn.microsoft.com/azure/container-apps/networking,/azure/container-apps/networking,Create a new article covering: azure Public Load Balancer to Private Container Apps via UDP MQTT protocol?
What is Firewall NAT 1:1 for inbound and outbound?,2.0,Conceptual,new-article,Nat Rules,https://learn.microsoft.com/azure/firewall/nat-rules,/azure/firewall/nat-rules,Create a new article covering: Firewall NAT 1:1 for inbound and outbound?
How do I resolve: Calling azure loadbalanacer rest api gives 403 forbidden error?,3.0,Troubleshooting,new-article,Built In Roles#Network Contributor,https://learn.microsoft.com/azure/role-based-access-control/built-in-roles#network-contributor,/azure/role-based-access-control/built-in-roles,Create a new article covering: Calling azure loadbalanacer rest api gives 403 forbidden error?
How do I urgent need to delete the resource group that is generating costs?,3.0,Procedural,new-article,Delete Resource Group,https://learn.microsoft.com/azure/azure-resource-manager/management/delete-resource-group,/azure/azure-resource-manager/management/delete-resource-group,Create a new article covering: urgent need to delete the resource group that is generating costs?
How do I at what scope/s Network Contributor Role is needed to add backend vms to a Load Balancer?,3.0,Procedural,new-article,Built In Roles#Network Contributor,https://learn.microsoft.com/azure/role-based-access-control/built-in-roles#network-contributor,/azure/role-based-access-control/built-in-roles,Create a new article covering: at what scope/s Network Contributor Role is needed to add backend vms to a Load 
How do I basic SKU IP Address for classic load balancer migration process?,3.0,Procedural,new-article,Cloud Services How To Configure Portal,https://learn.microsoft.com/azure/cloud-services/cloud-services-how-to-configure-portal,/azure/cloud-services/cloud-services-how-to-configure-portal,Create a new article covering: basic SKU IP Address for classic load balancer migration process?
How do I best Load Balancer Option for Container Apps with Autoscaling?,3.0,Procedural,new-article,Networking,https://learn.microsoft.com/azure/container-apps/networking,/azure/container-apps/networking,Create a new article covering: best Load Balancer Option for Container Apps with Autoscaling?
What is Upgrade classic Load balancer to standard?,3.0,Conceptual,new-article,Migration Classic Resource Manager Overview,https://learn.microsoft.com/azure/virtual-machines/migration-classic-resource-manager-overview,/azure/virtual-machines/migration-classic-resource-manager-overview,Create a new article covering: Upgrade classic Load balancer to standard?
What is Azure Container App without Load Balancer?,3.0,Conceptual,new-article,Networking,https://learn.microsoft.com/azure/container-apps/networking,/azure/container-apps/networking,Create a new article covering: Azure Container App without Load Balancer?
What is Load balancer status is Degraded (Unplanned)?,3.0,Conceptual,new-article,Resource Health Overview,https://learn.microsoft.com/azure/service-health/resource-health-overview,/azure/service-health/resource-health-overview,Create a new article covering: Load balancer status is Degraded (Unplanned)?
How do I resolve: Failed to distribute content to CMG from SCCM?,1.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: Failed to distribute content to CMG from SCCM?
How do I resolve: i have a connectivity issue with CDN?,1.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: i have a connectivity issue with CDN?
"How do I resolve: Azure powershell Error: GenericArguments[0], 'Microsoft.Azure.Management.Compute.Models.VirtualMachine', on 'T MaxInteger[T](System.Collections.Generic.IEnumerable`1[T])' violates the constraint of type 'T'?",1.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,"Update Troubleshoot Azure Load Balancer to address: Azure powershell Error: GenericArguments[0], 'Microsoft.Azure.Management.Compute"
What is Extend Basic Load Balancer by one week?,1.0,Conceptual,update-article,Load Balancer Basic Upgrade Guidance,https://learn.microsoft.com/azure/load-balancer/load-balancer-basic-upgrade-guidance,/azure/load-balancer/load-balancer-basic-upgrade-guidance,Update Azure Load Balancer Basic upgrade guidance to address: Extend Basic Load Balancer by one week?
How do I resolve: Issue with Load Balancer of Front door being deleted and recover?,2.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: Issue with Load Balancer of Front door being deleted and recover?
How do I resolve: Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Ports for FTP Passive Mode?,2.0,Troubleshooting,update-article,Distribution Mode Concepts,https://learn.microsoft.com/azure/load-balancer/distribution-mode-concepts,/azure/load-balancer/distribution-mode-concepts,Update Azure Load Balancer distribution modes to address: Azure Load Balancer: SourceIP Session Persistence Not Working Across Multiple Po
What is the recommended load balancing strategy for Azure Container Apps handling image-based workflows with regional failover?,2.0,Troubleshooting,update-article,Cross Region Overview,https://learn.microsoft.com/azure/load-balancer/cross-region-overview,/azure/load-balancer/cross-region-overview,Update Cross-region Load Balancer overview to address: the recommended load balancing strategy for Azure Container Apps handling image-
How do I resolve: NetworkingInternalOperationError on new VM w/Load Balancer?,2.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: NetworkingInternalOperationError on new VM w/Load Balancer?
How do I resolve: I am setting up an application using kubernetes pod and creating and Internal Loadbalancer service. When I try to access the application using service I am not facing any issue but when I use front door I am facing intermittent 404 issue?,2.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: I am setting up an application using kubernetes pod and creating and Internal Lo
How do I resolve: Having issue with SSL certificate configuration?,2.0,Troubleshooting,update-article,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Update Azure Load Balancer overview to address: Having issue with SSL certificate configuration?
How do I resolve: mTLS with Azure Load Balancer not working?,2.0,Troubleshooting,update-article,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Update Azure Load Balancer overview to address: mTLS with Azure Load Balancer not working?
"How to solve LB issue with error code "" SubscriptionNotRegisteredForFeature"" (SLBAllowAdminStateChangeForConnectionDraining)?",2.0,Troubleshooting,update-article,Load Balancer Standard Diagnostics,https://learn.microsoft.com/azure/load-balancer/load-balancer-standard-diagnostics,/azure/load-balancer/load-balancer-standard-diagnostics,"Update Azure Load Balancer metrics and diagnostics to address: How to solve LB issue with error code "" SubscriptionNotRegisteredForFeature"" (SL"
How do I resolve: Azure Premium Frontdoor linked to internal Load Balancer in front of Azure VM in private subnets not working?,2.0,Troubleshooting,update-article,Internal Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/internal-load-balancer-overview,/azure/load-balancer/internal-load-balancer-overview,Update Internal Load Balancer overview to address: Azure Premium Frontdoor linked to internal Load Balancer in front of Azure VM in
"How do I resolve: Azure Load Balancer , Time Mismatch issues?",2.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,"Update Troubleshoot Azure Load Balancer to address: Azure Load Balancer , Time Mismatch issues?"
How big is Azure Load Balancer UDP idle timeout?,2.0,Troubleshooting,update-article,Load Balancer Tcp Idle Timeout,https://learn.microsoft.com/azure/load-balancer/load-balancer-tcp-idle-timeout,/azure/load-balancer/load-balancer-tcp-idle-timeout,Update Azure Load Balancer TCP idle timeout to address: How big is Azure Load Balancer UDP idle timeout?
How do I resolve: failover of VPN gateway to next region using Traffic manager / Azure Global Load Balancer?,2.0,Troubleshooting,update-article,Cross Region Overview,https://learn.microsoft.com/azure/load-balancer/cross-region-overview,/azure/load-balancer/cross-region-overview,Update Cross-region Load Balancer overview to address: failover of VPN gateway to next region using Traffic manager / Azure Global Load
How do I resolve: Latency Issues with file uploads?,2.0,Troubleshooting,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: Latency Issues with file uploads?
Cross-region Load Balancer appears to drop UDP traffic?,2.0,Fact-finding,update-article,Cross Region Overview,https://learn.microsoft.com/azure/load-balancer/cross-region-overview,/azure/load-balancer/cross-region-overview,Update Cross-region Load Balancer overview to address: Cross-region Load Balancer appears to drop UDP traffic?
How do I load balancer of a unknow subscription using our vnet - cant delete?,2.0,Procedural,update-article,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Update Troubleshoot Azure Load Balancer to address: load balancer of a unknow subscription using our vnet - cant delete?
How do I redirect incomming traffic on Azure LB and F5 Big IP?,2.0,Procedural,update-article,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Update Azure Load Balancer overview to address: redirect incomming traffic on Azure LB and F5 Big IP?
How do I azure Load Balancer Set traffic priority for VM1?,2.0,Procedural,update-article,Distribution Mode Concepts,https://learn.microsoft.com/azure/load-balancer/distribution-mode-concepts,/azure/load-balancer/distribution-mode-concepts,Update Azure Load Balancer distribution modes to address: azure Load Balancer Set traffic priority for VM1?
Can we chain internal loadbalancers?,2.0,Conceptual,update-article,Internal Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/internal-load-balancer-overview,/azure/load-balancer/internal-load-balancer-overview,Update Internal Load Balancer overview to address: Can we chain internal loadbalancers?
Azure load balancer & F5 load balancer are same ?,2.0,Conceptual,update-article,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Update Azure Load Balancer overview to address: Azure load balancer & F5 load balancer are same ?
What is Basic SKU load balancer migration backout plan?,2.0,Conceptual,update-article,Load Balancer Basic Upgrade Guidance,https://learn.microsoft.com/azure/load-balancer/load-balancer-basic-upgrade-guidance,/azure/load-balancer/load-balancer-basic-upgrade-guidance,Update Azure Load Balancer Basic upgrade guidance to address: Basic SKU load balancer migration backout plan?
Why do I see down time required message when I am just validating the Azure Basic LB & not performing the actual Az Basic LB upgrade?,2.0,Conceptual,update-article,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Update Upgrade Azure Load Balancer from Basic to Standard to address: Why do I see down time required message when I am just validating the Azure Basi
How do I resolve: Azure Loadbalancer Failover Sessions not handed over?,2.0,Troubleshooting,add-section,Reliability Load Balancer,https://learn.microsoft.com/azure/reliability/reliability-load-balancer,/azure/reliability/reliability-load-balancer,Add a section to Reliability in Azure Load Balancer covering: Azure Loadbalancer Failover Sessions not handed over?
How do I resolve: Azure Load Balancer Session Handover not working?,2.0,Troubleshooting,add-section,Reliability Load Balancer,https://learn.microsoft.com/azure/reliability/reliability-load-balancer,/azure/reliability/reliability-load-balancer,Add a section to Reliability in Azure Load Balancer covering: Azure Load Balancer Session Handover not working?
How do I resolve: Azure front door not working with. private link service created by internal load balancer?,2.0,Troubleshooting,add-section,Private Link Service Overview,https://learn.microsoft.com/azure/private-link/private-link-service-overview,/azure/private-link/private-link-service-overview,Add a section to Azure Load Balancer documentation covering: Azure front door not working with. private link service created by internal load
"How do I resolve: I've upgraded kubernetes from 1.22.6 to 1.25.5, this required me to upgrade the ingress controller to latest version as it was incompatible before hand (1.1.2). As a result my connections to hosted applications failed with a gateway timeout?",2.0,Troubleshooting,add-section,Ingress Basic,https://learn.microsoft.com/azure/aks/ingress-basic,/azure/aks/ingress-basic,"Add a section to Azure Load Balancer documentation covering: I've upgraded kubernetes from 1.22.6 to 1.25.5, this required me to upgrade the "
How do I resolve: IP issues with Azure Kubernetes Service Load Balancer over UDP?,2.0,Troubleshooting,add-section,Configure Load Balancer Standard,https://learn.microsoft.com/azure/aks/configure-load-balancer-standard,/azure/aks/configure-load-balancer-standard,Add a section to Configure a public standard load balancer in AKS covering: IP issues with Azure Kubernetes Service Load Balancer over UDP?
How do I ingress hostname to use different domain than the .westeurope.cloudapp.azure.com?,2.0,Procedural,add-section,Ingress Basic,https://learn.microsoft.com/azure/aks/ingress-basic,/azure/aks/ingress-basic,Add a section to Azure Load Balancer documentation covering: ingress hostname to use different domain than the .westeurope.cloudapp.azure.com
How to recover failed upgrade of basic LBs with shared backend pools?,3.0,Troubleshooting,add-section,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Add a section to Upgrade Azure Load Balancer from Basic to Standard covering: How to recover failed upgrade of basic LBs with shared backend pools?
How do I resolve: Cannot connect to a https backend while a load test is running?,3.0,Troubleshooting,add-section,Troubleshoot Outbound Connection,https://learn.microsoft.com/troubleshoot/azure/load-balancer/troubleshoot-outbound-connection,/troubleshoot/azure/load-balancer/troubleshoot-outbound-connection,Add a section to Troubleshoot Azure Load Balancer outbound connections covering: Cannot connect to a https backend while a load test is running?
How do I resolve: Loadbalancer fails to delete?,3.0,Troubleshooting,add-section,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Add a section to Troubleshoot Azure Load Balancer covering: Loadbalancer fails to delete?
How do I resolve: 'AzureBasicLoadBalancerUpgrade' module fails with null error?,3.0,Troubleshooting,add-section,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Add a section to Upgrade Azure Load Balancer from Basic to Standard covering: 'AzureBasicLoadBalancerUpgrade' module fails with null error?
How do I resolve: Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAddressNotAllowed error?,3.0,Troubleshooting,add-section,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Add a section to Upgrade Azure Load Balancer from Basic to Standard covering: Failed to add NIC in Load Balancer due to DifferentSkuLoadBalancersAndPublicIPAd
